T(oC),s01,n1,s02,n2,s03,n3
25,207.316666666667,0.03659,356.1,0.081166666666667,372.443333333333,0.0942
100,188.77,0.039883333333333,354.82,0.087866666666667,366.553333333333,0.097666666666667
150,173.486666666667,0.034633333333333,328.276666666667,0.064733333333333,321.006666666667,0.084473333333333
200,144.996666666667,0.012666666666667,268.06,0.039426666666667,254.82,0.0614
250,106.763333333333,-0.010966666666667,187.293333333333,0.041533333333333,182.51,0.032866666666667
300,70.28,-0.027066666666667,131.726666666667,0.020233333333333,127.893333333333,0.023633333333333
